,Comments
117,"Day Without Immigrants” to protest for immigration reform in the US.<br><br>Hispanic influencers and activists have asked the community not to work, shop or got to school on February 14.<br><br>The idea is that a day without immigrants will illustrate how much of our everyday lives depend on immigrants.<br><br><br>!!!!!!!!"
118,Our prepandemic lives are dead.
119,just live with it
120,"2099 only , if we don’t change to vegan 🌱 now !!"
121,Give one more year max.
122,"If only we had just 1 or a few Billionaires willing to gain and if all fail well no biggy ,what&#39;s a few millions after all."
123,"Day Without Immigrants” to protest for immigration reform in the US.<br><br>Hispanic influencers and activists have asked the community not to work, shop or got to school on February 14.<br><br>The idea is that a day without immigrants will illustrate how much of our everyday lives depend on immigrants.<br><br><br>!!!!!!!!!!!!!!"
124,God pls end the covid ..
125,These are recycled clips. It&#39;s old news.
126,"it has been over a long time ago,  it just takes time for the system to change direction"
127,To all the self declared and professional experts can someone explain to me why African nations have lower number covid cases and death despite having a low vaccine rate?
128,"Recicled news? Ive already seen this one, weeks ago"
129,"Mmmmh, interesting &#39;natural immunity&#39;😕"
130,DW starting to sucking back the BS???
131,Endemic is the best news people are tired of wearing mask and staying away from dear ine
132,Do you want to live a long time in fear or a short time without fear ?
133,😳
134,I lived through many bouts of the deathly flus while living in Germany &amp; the Netherlands in my 40s &amp; 50s where they did not vaccinate under 60s people. I was very sick a number of times. I was surprised tonreturn to the states and be advised to get a flu vaccine. I haven&#39;t had a flu or covid since returning to the US in late 2019. I have not even had a substantial cold.
135,I suppose we’ll soon find out who jumped the line
136,"When it comes to the world of investing,most people don&#39;t know where to start. Fortunately great investors of the past and present can provide us with guidance"
137,"Doesn&#39;t a strong immune system depend on Diet?  I haven&#39;t heard a single  thing from Scientists, WHY?  It seems so important not to eat or drink the things that kill the MicroBiom"
138,When people say enough is enough.
139,It will end in the year 4422
140,it means everybody got it
141,This bmp is no different from 9/11 there is no end game.They will keep the new rules in place until the people rise up and change them.
142,Boycott the world cup ffs!
143,But back then there were no airplanes
144,"People are still during,but yet thay say don&#39;t were your mask"
145,Covid is forever.
146,Don&#39;t worry about it.<br>We have a natural immune.
147,After every variant you post this.
148,"Before 2020, anti-virus measures usually were meant for our computers. How things change!"
149,"The economic hardship, recession, unemployment and the loss of job caused by covid pandemic is enough to push people into financial ventures. Winter is here again with lots of activities to be enjoyed. Well, I&#39;m taking a trip into investing because I lost so much during this pandemic. Multi creation of wealth is the best strategy to ensure financial sustainability."
150,Not in Trudeau’s Kingdom
151,Thanks
152,Way too much recycled footage. Will now unsubscribe from this channel.
153,"&quot;When will COVID-19 become endemic?&quot;<br>It always was, just governments chose to grandstand."
154,Spoiler: it already is. 🤡🌎
155,"Hopium for the people, the pandemic was going to end with beta, gamma, ..."
156,"endemic doesn&#39;t mean no problem, it means we&#39;re stuck with it forever<br><br>the idea of endemic as a good thing is so warped <br><br>&quot;achieve endemic state&quot;? this is madness"
157,When they stop testing
158,Yes Its Become Endemic of COVID 19 then Return Normalcy Live Again This Year 2022 Pre Pandemic Like 2019
159,It already has
160,"It is already endemic. Just stop testing, take jabs (for those who still didn&#39;t get vaccinated), and enjoy the life out there. Thankfully, the scientists have worked hard to get the vaccines ready in record time which has substantially lowered the death rate. In any case, a pandemic would last for 2-3 years before becoming endemic, either with an extremely high death rate (as in the case of the Flu in 1918-1920) or with a much lesser death rate (as in the case of this one in 2019-2022)."
161,I had to stop listening to this because of the Kim Kardashian croaking of the presenter at the end of every sentence.<br>Nauseating.
162,Its over. I dont care what anybody says. Its over!!!
163,No one is talking about punishing the country which has brought this biological warfare to the world.
164,Omicron is the endemic version of Covid 19
165,When big pharmaceutical  saw money ???
166,There HAS NEVER BEEN ANYRHING TO FEAR . <br>Baaa baa baaaa
167,SPELLING MISTAKE in your heading: Engame. <br>Not ENDGAME?
168,Its dream?
169,"Norway let go of restrictions today, Sweden earlier this week and Danmark last week."
170,"&#39;Back to normal&#39;<br><br>Someone, please explain to me whats been normal in the 20 years? Or even the last ten?? <br><br>Normal??"
171,LETS ASK BILL GATES.
172,Omicron saved the world it seems ! Lol 👍🏽🎯🎯
173,COVID 19 end date 2027...
174,"Sad times for DW. Oh no, they will find something else to cry about😅"
175,It will become endemic when people passed to use their brains again instead following this mass psychosis.
176,Typo alert!<br>Thumbnail needs a &quot;d&quot;
177,يا عباد الله يا مسلمين مناشدة انسانية يا امة محمد صارت قلوبكم لا ﺭﺣﻤﻪ ﻭﻻ ﺷﻔﻘﻪ ﻭﻻ ﺃﻧﺴﺎﻧﻴﻪ اني ﻛﻢ ﺷﻜﻴﺖ ﻭﻛﻢ ﺑﻜﻴﺖ ﻛﻢ ﻧﺎﺩﻳﺖ ﻭﻛﻢ ﻧﺎﺷﺪﺕ ﻭﻟﻜﻦ ﻻ ﺣﻴﺎﺓ ﻟﻤﻦ ﺗﻨﺎﺩﻱ  ﻫﻞ ﻳﺮﺿﻴﻜﻢ ﺃﻥ ﺃﺧﻮﺍﻧﻲ ﻳﺒﻜﻮﻥ ﻭﻳﻤﻮﺗﻮﻥ ﻣﻦ ﺍﻟﺠﻮﻉ ﻭﺃﻧﺘﻢ ﻣﻮﺟﻮﺩﻭﻥ ﻳﻌﻠﻢ ﺍﻟﻠﻪ ﺍﻟﻌﻠﻲ ﺍﻟﻌﻈﻴﻢ ﺃﻧﻨﺎ ﻻ ﻧﻤﻠﻚ ﺣﺘﻰ ﻗﻴﻤﺔ ﻛﻴﻠﻮ ﺩﻗﻴﻖ ﺃﺑﻲ ﻣﺘﻮﻓﻲ ﻭﺃﺧﻮﺍﻧﻲ ﺻﻐﺎﺭ ﻟﻴﺲ ﻟﻨﺎ ﺃﺣﺪ ﺃﻗﺴﻢ ﺑﺎﻟﻠﻪ ﺍﻟﻌﻈﻴﻢ ﺃﻧﻬﻢ ﻧﺎﻣﻮﺍ ﺃﻣﺲ ﺟﻮﻋﺎﻧﻴﻦ ﻭﻫﻢ ﻳﺒﻜﻮﻥ ﻭﺍﻟﺪﻣﻮﻉ ﺟﻔﺖ ﻣﻦ ﺍﻟﺒﻜﺎﺀ ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﻫﻞ ﻳﺮﺿﻴﻜﻢ ﺃﻧﻨﺎ ﻣﻦ ﺃﻣﺲ ﻟﺤﺪ ﺍﻵﻥ ﺑﺪﻭﻥ ﺃﻛﻞ ﻳﺎﺃﺧﻮﺓ ﺍﻹﺳﻼﻡ ﻧﺤﻦ ﺃﺳﺮﻩ ﺃﻳﺘﺎﻡ ﻭﻧﺎﺯﺣﻴﻦ ﻭﻣﺸﺮﺩﻳﻦ مستاجرين بيت  واليوم صارت علينا متاخرات حق الاجار وما استطعنا ندفع وصاحب البيت يشتي يخرجنا اذا مادفعنا الاجار ﺃﺭﺟﻮﻭﻛﻢ ﺳﺎﻋﺪﻭﻧﺎ ﻭﻓﺮﺣﻮﻧﺎ ﺃﺭﺟﻮﻛﻢ ﺃﻭﻗﻔﻮﺍ ﻣﻌﻨﺎ ﻭﺍﻟﻠﻪ ﺍﻟﻌﻈﻴﻢ ﺃﻧﻨﺎ ﺑﺄﻣﺲ ﺍﻟﺤﺎﺟﻪ ﺃﺳﺄﻟﻜﻢ ﺑﺎﻟﻠﻪ ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﺍﻟﻲ ﻋﻨﺪﻩ ﺍﻟﻘﺪﺭﻩ ﻋﻠﻰ ﻣﺴﺎﻋﺪﺗﻨﺎ لايتاخر علينا لحظه هاذا رقمي واتساب 00967715404680 الذي يقدر يساعدنا يراسلني على الواتساب نرسله الاسم الكامل يحولنا بقدر استطاعته الله يوفقكم.،
178,This is just the start 😂😂😂😂 wait and watch
179,"Not really, gonna be a surge coming soon 😑 real soon 😑"
