,Comments,Clean,Label
355,"That fruit vendor is a smart man. It is refreshing to hear someone talk sensibly. Here in the Philippines, the health department would get hundreds of laughing emojis as soon as it posts Covid-19 updates. But when you look at those people's profiles you can easily tell they have low IQs.",fruit vendor smart man refreshing hear someone talk sensibly philippine health department would get hundred laughing emojis soon post covid update look people profile easily tell low iq,0
356,"Majority of NI health staff off sick with Covid jabbed and boosted, chief says - Belfast Telegraph, 24/12/2022",majority ni health staff sick covid jabbed boosted chief say belfast telegraph,0
357,"I got Covid 3 weeks after the booster jab. It was mild but lasted almost 2 weeks. You still don't want to have it, trust me. I can hardly imagine how bad would it be if I had not vaccinated. Get your jabs, wear a mask, stay healthy.",got covid week booster jab mild lasted almost week still want trust hardly imagine bad would not vaccinated get jabs wear mask stay healthy,0
358,"<a href=""https://www.youtube.com/watch?v=KKzm0r7_72Q&t=15m45s"">15:45</a> Reporter: ""A majority [of severely ill patients] are unvaccinated OR have underlying health conditions."" (implying that the unvaccinated did not necessarily have comorbidities?) Healthcare worker: ""At the moment, some of our patients are vaccinated, some are not. EVERYONE HOSPITALIZED has underlying health conditions."" Seems like a contradiction?",href http www youtube com watch v kkzmr_q amp m reporter quot majority severely ill patient unvaccinated underlying health condition quot implying unvaccinated not necessarily comorbidities healthcare worker quot moment patient vaccinated not everyone hospitalized underlying health condition quot seems like contradiction,0
363,"Omicron is known to be way less harmful, also within countrys with low vaccination rates - so I think it is not likely, and not scientifically  to declare this fact to the injections",omicron known way le harmful also within country low vaccination rate think not likely not scientifically declare fact injection,0
366,"The vaccine is freedom, provided by the government.<br>Did he really say that.",vaccine freedom provided government br really say,0
375,Simple answer: yes it is unstoppable.,simple answer yes unstoppable,0
378,99.0 of people survive covid. What an idea.,people survive covid idea,0
387,Is Omicron unstoppable? Yes,omicron unstoppable yes,0
395,How do you get 104% fully vaccinated? Animals are included too? :O,get fully vaccinated animal included,1
396,"Is Omicron unstoppable, or have we given up?",omicron unstoppable given,0
403,"It IS ""UNSTOPPABLE.""<br><br>THE END.",quot unstoppable quot br br end,0
405,Should it be stopped or just slowed down?,stopped slowed,0
407,It's stopable if you stay home and wait it out.,stopable stay home wait,0
408,Yes it is almost unstoppable. China will learn this too.,yes almost unstoppable china learn,0
411,"I was never going to die till covid hit, I'm so scared",never going die till covid hit scared,0
414,"Security guards at the market, in Germany they are called Gestopo.",security guard market germany called gestopo,0
421,To all my unvaxxed compatriots out there: HOLD THE LINE!!!,unvaxxed compatriot hold line,0
423,Finally FREE FROM COVID! :2050,finally free covid,0
438,"I think everyone should just look at it as never going away. Covid is here to stay and we just need to learn how to live with it and the many variants that will come up. The rich countries refuse to help poorer countries and so, here is what you have and it won't change. As our climate changes more and more risks will come down the road. Unless leaders act like climate change is the most important risk their country and people, nothing will change. This will all get worse.",think everyone look never going away covid stay need learn live many variant come rich country refuse help poorer country change climate change risk come road unless leader act like climate change important risk country people nothing change get worse,0
464,Like can accept stay jail in own home? The vaccine not have more efecct against the covid 19? That IS for immunization or to control in mass?,like accept stay jail home vaccine not efecct covid immunization control mass,0
470,Our grandparent's had war..our children have covid,grandparent war child covid,0
475,Ahhhh cute kids in the report.... DW.... you should use puppies and kittens next... maybe puppies riding chickens!! ('Look Up' movie reference).... <br>Big Pharma will stop at nothing to try and force us to do something we don't want to.,ahhhh cute kid report dw use puppy kitten next maybe puppy riding chicken look movie reference br big pharma stop nothing try force us something want,0
481,The covid pandemic didn't end.and because of that things and places are again shut down.,covid pandemic end thing place shut,0
488,"Seeing all these brainwashed children, and adults, makes me sad",seeing brainwashed child adult make sad,0
491,best strategy: make unvaccinated people pay for their treatments and eliminate all restrictions,best strategy make unvaccinated people pay treatment eliminate restriction,0
494,"My kids don't know nothing about covid, I prefer not to bother them with that. There are masks and that's enough. My 4 year old daughter remembers not the normal life. This is scary as the kids cannot develop socially in a proper way",kid know nothing covid prefer not bother mask enough year old daughter remembers not normal life scary kid cannot develop socially proper way,0
497,"<b>The crypto market has been favourable in the past weeks, I keep missing out on this opportunity, I'm most certainly very impatient how can I ever make a profit in the crypto market</b>",b crypto market favourable past week keep missing opportunity certainly impatient ever make profit crypto market b,0
501,No one mentions mosquitoes  they always put a drop in the person .aids hiv is very hard to catch thats why it didnt matter so much<br>But other things pass on cheers ellie,one mention mosquito always put drop person aid hiv hard catch thats didnt matter much br thing pas cheer ellie,0
505,"Like is quieter and peaceful - people keep busy to distract their inner thoughts which is why anxiety and depression has increased  during Covid- most pandemics last three years anyway - so relax, spend time walking and observing nature rather than a screen and give gratitude to the simply things in life",like quieter peaceful people keep busy distract inner thought anxiety depression increased covid pandemic last three year anyway relax spend time walking observing nature rather screen give gratitude simply thing life,0
513,Covid,covid,0
514,Covid,covid,0
516,The best way is stop making new ones,best way stop making new one,0
519,"People need to cooperate, we can  encourage others to get vaccinated but there is a lot people that are in fear for whatever reason to get vaccinated that's why the virus is mutating. So humans need to be responsible for there own actions when they don't listen. We where told over and over on what to do. So grown folks be responsible for your own actions. Get vaccinated. So this virus can go away.",people need cooperate encourage others get vaccinated lot people fear whatever reason get vaccinated virus mutating human need responsible action listen told grown folk responsible action get vaccinated virus go away,0
528,"Bunch of tyrants. I won't participate in this insanity, zero injections for me.",bunch tyrant participate insanity zero injection,0
529,Poor kids have been brainwashed.,poor kid brainwashed,0
531,"Es muss endlich eine endgültige Antwort für die Coronazis geben, um sie in ein Zentrum zur Quarantäne und Heilung auszusiedeln. Dafür wäre eine allgemeine Vermögenserklärung und eine Leugnerkartei sinnvoll. Als erstes müssen dazu Auffangzentren geschaffen werden, zur anschließenden Umsiedlung. Später kann das dann auf weitere Individuen zur Abbeförderung ausgedehnt werden.",e mus endlich eine endgültige antwort für die coronazis geben um sie ein zentrum zur quarantäne und heilung auszusiedeln dafür wäre eine allgemeine vermögenserklärung und eine leugnerkartei sinnvoll al erstes müssen dazu auffangzentren geschaffen werden zur anschließenden umsiedlung später kann da dann auf weitere individuen zur abbeförderung ausgedehnt werden,0
532,Fear is the virus. Love and Freedom is the cure.,fear virus love freedom cure,0
558,"The problem with this whole climate change thing is that it's basically a negative energy equation, that's why it's such a difficult issue to solve. Instead of sucking large quantities of oil out of the ground and burning it to make our lives more comfortable now we're tasked with the responsibility of expending large quantities of energy to basically sink all that energy back into the ground to save the planet. Even the way they try to sell clean energy projects is backwards, promising people that clean energy will create more jobs. That sounds great but then what are all the people who are working in all those new clean energy jobs going to want to do with the money they're earning from their clean energy jobs, I'm guessing they're going to want to go out and consume and then you'll  also need to offset that consumption. So there really aren't any easy answers to this problem.",problem whole climate change thing basically negative energy equation difficult issue solve instead sucking large quantity oil ground burning make life comfortable tasked responsibility expending large quantity energy basically sink energy back ground save planet even way try sell clean energy project backwards promising people clean energy create job sound great people working new clean energy job going want money earning clean energy job guessing going want go consume also need offset consumption really easy answer problem,0
582,Scaremongering scam,scaremongering scam,0
585,"Hope new year is better. <br>The worst part was Covid mishandling at Titanic scale, pyres, mass graves and people gasping for Oxygen.",hope new year better br worst part covid mishandling titanic scale pyre mass graf people gasping oxygen,0
587,lets just stop wearing masks,let stop wearing mask,0
597,I hope all these covid rules and mandates backfire big time on the governments,hope covid rule mandate backfire big time government,0
604,"Oh please give over. I'm no covid denier, nor am I flu denier. I just decided to keep freedom of choice when it comes to my own body and health. Violence, extremism, wth are talking about. I just don't enjoy coercion and discrimination. I am from France and definitely thinking about emigrating to a place that doesn't look like a psychiatric ward.",oh please give covid denier flu denier decided keep freedom choice come body health violence extremism wth talking enjoy coercion discrimination france definitely thinking emigrating place look like psychiatric ward,0
605,"I did the same. Best decision ever. I hope much more people do it, so we create an incentive for freedom.",best decision ever hope much people create incentive freedom,0
609,Imagine someone with a syringe knocking your door to inject a mysterious subtance into your bloodstream saying this needle is good for you. That's the type of world we're living in,imagine someone syringe knocking door inject mysterious subtance bloodstream saying needle good type world living,0
610,"<a href=""https://www.youtube.com/watch?v=mxdzLmL22Fs&t=9m16s"">9:16</a> Dear Mr Williams, please also explain the data about how israel who had all their adult got vaccinated and even 3rd jab but still experience 3rd wave, and also please explain why, Back in April Gibraltar had fully vaccinated very close to 100% of its citizens. This month the CDC added Gibraltar to the list of very high risk countries to travel to.  Gibralter's covid cases are up 2500%.",href http www youtube com watch v mxdzlmlfs amp m dear mr williams please also explain data israel adult got vaccinated even rd jab still experience rd wave also please explain back april gibraltar fully vaccinated close citizen month cdc added gibraltar list high risk country travel gibralter covid case,0
618,I'm had my two doses of the Pfizer covid vax but hearing that vaccination is being mandated in many nations in Europe doesn't seem helpful in any way. It would have been understandable if the vaccines eliminated or minimised Covid but this is not what has happened even here in Australia where we are have a vaccination rate of over 90%. Sure it reduces hospitalisations but smoking and alcohol is still allowed so this is still not an argument for a mandate.,two dos pfizer covid vax hearing vaccination mandated many nation europe seem helpful way would understandable vaccine eliminated minimised covid not happened even australia vaccination rate sure reduces hospitalisation smoking alcohol still allowed still not argument mandate,0
619,Germany going back to its roots i see.<br><br>Meanwhile The covid mandates and vaccine passport have been nullified by ONE SINGLE LAWYER in Bosnia and Herzegovina.  <br><br>Feels like im living in opposite world where poor countries make the right decisions while rich countries like Germany and Australia become more authoritarian by day.,germany going back root see br br meanwhile covid mandate vaccine passport nullified one single lawyer bosnia herzegovina br br feel like im living opposite world poor country make right decision rich country like germany australia become authoritarian day,0
621,"i don't blame them at all. i'm from Italy and here the situation is unliveable for the unvaccinated ones, cause of the coercitive and extorsion rules of the goverment: you can't work without the covid pass, and cannot do any other social activites, so you just can't live, you are just allow to pay taxes and the bills!if the government does not even grant me the fundamental right to work to support myself and live in dignity at the same time I don't have to feel obliged to pay any taxes.",blame italy situation unliveable unvaccinated one cause coercitive extorsion rule goverment work without covid pas cannot social activites live allow pay tax bill government not even grant fundamental right work support live dignity time feel obliged pay tax,0
626,First you see peacefull families enjoying their freedom then a commentator is saying those are dangerous criminals.. welcome back 1930!,first see peacefull family enjoying freedom commentator saying dangerous criminal welcome back,0
631,I'm unvaccinated person too..to me there's nothing radical about people who refused a politically pedalled impure vaccination incursion .,unvaccinated person nothing radical people refused politically pedalled impure vaccination incursion,0
632,"They always speak about: radicalisation, them, covid-deniers, anti-vaxxers, right-wing extremists etc.. Did you ever discuss their points? I mean, what keeps me from saying that you guys are collateral-damage deniers or something like that? I would never do that because I don't think you guys do. But that should count for the other side to.. I'm nothing of the earliert mentioned points, I'm vaccinated etc. but I think it should definitely be allowed to discuss about the mandates, sideeffects of the vaccine itself etc.",always speak radicalisation covid denier anti vaxxers right wing extremist etc ever discuss point mean keep saying guys collateral damage denier something like would never think guy count side nothing earliert mentioned point vaccinated etc think definitely allowed discus mandate sideeffects vaccine etc,0
634,fight for your freedom germany! much love from canada!,fight freedom germany much love canada,0
636,"I'm not against vacination. But hey, how is it possible with record high numbers of COVID. When there are record high numbers of vaccinated people. It doesn't add up. The health systems had no margins before covid before the pandemic. That's the problem in most countries. So please, let's hope the pandemic will be over soon. People will start hesitating after booster shot 4, 5 and 6. Good luck to all of us!",not vacination hey possible record high number covid record high number vaccinated people add health system margin covid pandemic problem country please let hope pandemic soon people start hesitating booster shot good luck us,0
637,"getting away from crushing taxes, a toxic society and politicians taking more freedoms away every day is a big win regardless of covid",getting away crushing tax toxic society politician taking freedom away every day big win regardless covid,0
640,"I would have subscribed to the channel, if the first interviewee answered any of the questions posed and the second one did not blatantly lie.",would subscribed channel first interviewee answered question posed second one not blatantly lie,0
641,"If I live in Germany, I would consider many options. It's absolutely crazy in Germany",live germany would consider many option absolutely crazy germany,0
646,"Thank you for the honest answer to this viewer question in the end. Interestingly, more and more we suddenly hear a certain messaging surrounding the vaccines, as from the science correspondent in your Video, marked by phrases like ""we hoped"", ""we do know now"", ""maybe for a long while the vaccine will protect you"" and so on. I do agree with your science correspondent regarding the ""messaging issue"" by the officials, though one may find more honest descriptions for that ;) Either way, what is striking here is that obviously, we did NOT know everything about the vaccines right from the start of the campaign, yet to this day one gets bashed and called names in pointing this out. So this unscientific sentiment, this hybris has to stop and we have to trust our fellow people to make the right decisions on themselves without willful deception.",thank honest answer viewer question end interestingly suddenly hear certain messaging surrounding vaccine science correspondent video marked phrase like quot hoped quot quot know quot quot maybe long vaccine protect quot agree science correspondent regarding quot messaging issue quot official though one may find honest description either way striking obviously not know everything vaccine right start campaign yet day one get bashed called name pointing unscientific sentiment hybris stop trust fellow people make right decision without willful deception,0
649,I really feel for freedom loving Germans. Its clear that totalitarianism is an inescapable predisposition in Germanic people's.,really feel freedom loving german clear totalitarianism inescapable predisposition germanic people,0
651,Sad to hear! I wish freedom for the hunted!! people need to be able to make their own decision! The ones great nation of Germany is gone.,sad hear wish freedom hunted people need able make decision one great nation germany gone,0
653,The Himalayas are beautiful place...the small Himalayan villages have never been affected by covid!,himalaya beautiful place small himalayan village never affected covid,0
